TimeWindow  Iteration  ResRel(Pressure)  
     9      11   2.60525598e-02  
     9      12   3.69079660e-02  
     9      13   5.27273808e-02  
     9      14   5.18730449e-02  
     9      15   2.80283594e+00  
     9      16   2.36532859e-02  
     9      17   1.18702742e-02  
     9      18   2.08875020e-04  
     9      19   1.16733195e-02  
     9      20   2.24714071e-02  
     9      21   3.42170909e-02  
     9      22   4.22282126e-02  
     9      23   6.34386345e-02  
     9      24   4.25844127e-02  
     9      25   1.18654307e-02  
     9      26   1.28577934e-02  
     9      27   1.58635412e-02  
     9      28   5.94306513e-02  
     9      29   2.40258837e-02  
     9      30   3.19096291e-03  
     9      31   8.49353301e-03  
     9      32   2.44232198e-02  
     9      33   2.46010570e-02  
     9      34   2.80440546e-01  
     9      35   1.99615791e-02  
     9      36   8.69867037e-03  
     9      37   1.99420939e-03  
     9      38   6.44780298e-03  
     9      39   2.23074587e-02  
     9      40   2.17141461e-02  
     9      41   4.69163756e-01  
     9      42   1.73267115e-02  
     9      43   9.07837280e-03  
     9      44   9.80969425e-04  
     9      45   9.80772744e-03  
     9      46   1.59981286e-02  
     9      47   2.99537270e-02  
     9      48   2.61239502e-02  
     9      49   4.44606732e-02  
     9      50   1.33861603e-02  
     9      51   9.98369367e-03  
     9      52   1.54444826e-02  
     9      53   1.28223281e-02  
     9      54   1.14897601e-02  
     9      55   3.82604409e-02  
     9      56   1.37428157e-02  
     9      57   9.68361285e-03  
     9      58   1.10407924e-02  
     9      59   1.16089868e-02  
     9      60   1.13068178e-02  
     9      61   5.59972990e-02  
     9      62   1.34868052e-02  
     9      63   8.71635456e-03  
     9      64   5.88221101e-03  
     9      65   1.00555036e-02  
     9      66   1.16389273e-02  
     9      67   3.91333907e-02  
     9      68   1.69001465e-02  
     9      69   1.85171027e-03  
     9      70   6.02011195e-03  
     9      71   1.66303454e-02  
     9      72   1.71834248e-02  
     9      73   8.14112465e-02  
     9      74   1.50626693e-02  
     9      75   5.08710470e-03  
     9      76   3.64952450e-03  
     9      77   5.52769111e-03  
     9      78   2.14922701e-02  
     9      79   1.49852536e-02  
     9      80   9.07764001e-03  
     9      81   8.68160657e-03  
     9      82   9.31442290e-03  
     9      83   6.34704391e-02  
     9      84   1.33997079e-02  
     9      85   4.48593222e-03  
     9      86   3.41742665e-03  
     9      87   2.55716850e-04  
     9      88   6.46789848e-03  
     9      89   1.16901982e-02  
     9      90   1.88507043e-02  
     9      91   2.11471954e-02  
     9      92   2.18757638e-02  
     9      93   1.07539280e-01  
     9      94   1.29063430e-02  
     9      95   4.94533936e-03  
     9      96   2.09373309e-03  
     9      97   3.89347361e-03  
     9      98   1.11757123e-02  
     9      99   1.34843543e-02  
     9     100   1.87911292e-02  
    10       1   1.31056995e+00  
    10       2   1.69369097e+00  
    10       3   1.17171318e+00  
    10       4   1.45338319e-02  
    10       5   1.22018809e-02  
    10       6   1.73530649e-02  
    10       7   4.90858927e-02  
    10       8   2.94004555e-02  
    10       9   5.48501054e-03  
    10      10   1.31421024e-02  
    10      11   1.89804657e-02  
    10      12   4.60130873e-02  
    10      13   2.93042339e-02  
    10      14   8.77414390e-03  
    10      15   1.31349558e-02  
    10      16   1.67767833e-02  
    10      17   5.65517194e-02  
    10      18   2.48154540e-02  
    10      19   2.05164924e-03  
    10      20   9.11769097e-03  
    10      21   2.26965344e-02  
    10      22   2.60893580e-02  
    10      23   7.40757955e-02  
    10      24   2.43664709e-02  
    10      25   4.76883082e-03  
    10      26   7.08190543e-03  
